"Repeat","OuterFold","Model","N_OuterTrain","N_OuterVal","N_Selected_Features","AUC","Accuracy","Sensitivity","Specificity","Precision","F1","MCC"
4,6,"XGBoost",84,8,19,0.75,0.75,0.5,1,1,0.666666666666667,0.577350269189626
4,7,"BinaryLogistic",83,9,16,1,0.555555555555556,1,0.2,0.5,0.666666666666667,0.316227766016838
4,7,"RandomForest",83,9,16,0.85,0.777777777777778,1,0.6,0.666666666666667,0.8,0.632455532033676
4,7,"SVM",83,9,16,0.45,0.333333333333333,0.5,0.2,0.333333333333333,0.4,-0.316227766016838
4,7,"XGBoost",83,9,16,0.65,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
4,8,"BinaryLogistic",83,9,18,0.65,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
4,8,"RandomForest",83,9,18,0.8,0.666666666666667,0.25,1,1,0.4,0.395284707521047
4,8,"SVM",83,9,18,0.85,0.777777777777778,0.75,0.8,0.75,0.75,0.55
4,8,"XGBoost",83,9,18,0.5,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
4,9,"BinaryLogistic",83,9,18,0.75,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
4,9,"RandomForest",83,9,18,0.8,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
4,9,"SVM",83,9,18,0.75,0.555555555555556,0.5,0.6,0.5,0.5,0.1
4,9,"XGBoost",83,9,18,0.9,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
4,10,"BinaryLogistic",82,10,23,0.6,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
4,10,"RandomForest",82,10,23,0.64,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
4,10,"SVM",82,10,23,0.52,0.5,0.4,0.6,0.5,0.444444444444444,0
4,10,"XGBoost",82,10,23,0.52,0.6,0.6,0.6,0.6,0.6,0.2
5,1,"BinaryLogistic",83,9,17,0.8,0.777777777777778,1,0.6,0.666666666666667,0.8,0.632455532033676
5,1,"RandomForest",83,9,17,0.9,0.888888888888889,0.75,1,1,0.857142857142857,0.790569415042095
5,1,"SVM",83,9,17,0.8,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
5,1,"XGBoost",83,9,17,0.75,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
5,2,"BinaryLogistic",82,10,18,0.8,0.8,0.8,0.8,0.8,0.8,0.6
5,2,"RandomForest",82,10,18,1,0.9,0.8,1,1,0.888888888888889,0.816496580927726
5,2,"SVM",82,10,18,1,1,1,1,1,1,1
5,2,"XGBoost",82,10,18,0.92,0.8,0.6,1,1,0.75,0.654653670707977
5,3,"BinaryLogistic",84,8,19,0.53125,0.5,0.5,0.5,0.5,0.5,0
5,3,"RandomForest",84,8,19,0.75,0.5,0.75,0.25,0.5,0.6,0
5,3,"SVM",84,8,19,0.5625,0.375,0.25,0.5,0.333333333333333,0.285714285714286,-0.258198889747161
5,3,"XGBoost",84,8,19,0.5625,0.375,0.75,0,0.428571428571429,0.545454545454545,-0.377964473009227
5,4,"BinaryLogistic",83,9,18,0.775,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,4,"RandomForest",83,9,18,0.5,0.444444444444444,0.25,0.6,0.333333333333333,0.285714285714286,-0.158113883008419
5,4,"SVM",83,9,18,0.85,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,4,"XGBoost",83,9,18,0.7,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
5,5,"BinaryLogistic",83,9,20,0.65,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
5,5,"RandomForest",83,9,20,0.55,0.666666666666667,0.25,1,1,0.4,0.395284707521047
5,5,"SVM",83,9,20,0.6,0.666666666666667,0.25,1,1,0.4,0.395284707521047
5,5,"XGBoost",83,9,20,0.45,0.444444444444444,0.25,0.6,0.333333333333333,0.285714285714286,-0.158113883008419
5,6,"BinaryLogistic",82,10,18,0.84,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
5,6,"RandomForest",82,10,18,0.72,0.7,0.4,1,1,0.571428571428572,0.5
5,6,"SVM",82,10,18,0.76,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
5,6,"XGBoost",82,10,18,0.84,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
5,7,"BinaryLogistic",83,9,16,1,1,1,1,1,1,1
5,7,"RandomForest",83,9,16,0.95,0.888888888888889,0.75,1,1,0.857142857142857,0.790569415042095
5,7,"SVM",83,9,16,1,1,1,1,1,1,1
5,7,"XGBoost",83,9,16,0.8,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,8,"BinaryLogistic",83,9,13,0.425,0.444444444444444,0.25,0.6,0.333333333333333,0.285714285714286,-0.158113883008419
5,8,"RandomForest",83,9,13,0.8,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
5,8,"SVM",83,9,13,0.75,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,8,"XGBoost",83,9,13,0.85,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,9,"BinaryLogistic",83,9,14,0.75,0.888888888888889,0.75,1,1,0.857142857142857,0.790569415042095
5,9,"RandomForest",83,9,14,0.85,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,9,"SVM",83,9,14,0.65,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
5,9,"XGBoost",83,9,14,0.65,0.777777777777778,0.75,0.8,0.75,0.75,0.55
5,10,"BinaryLogistic",82,10,16,0.8,0.8,0.6,1,1,0.75,0.654653670707977
5,10,"RandomForest",82,10,16,0.96,0.8,0.8,0.8,0.8,0.8,0.6
5,10,"SVM",82,10,16,0.8,0.8,0.8,0.8,0.8,0.8,0.6
5,10,"XGBoost",82,10,16,0.96,0.9,0.8,1,1,0.888888888888889,0.816496580927726
